,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,902,747,771,909,"1,174",865,932,"1,108","1,302","1,007","1,035","1,338","1,853"
Expenses +,808,665,685,808,"1,047",766,822,975,"1,152",894,912,"1,187","1,639"
Operating Profit,94,81,86,101,127,99,111,133,150,113,123,151,214
OPM %,10%,11%,11%,11%,11%,11%,12%,12%,11%,11%,12%,11%,12%
Other Income +,4,2,3,3,9,6,4,7,10,9,10,9,17
Interest,24,20,21,24,24,20,25,23,26,22,19,25,34
Depreciation,10,10,10,10,13,10,10,12,12,12,13,14,16
Profit before tax,65,53,58,69,100,75,80,105,122,88,101,121,181
Tax %,27%,26%,26%,27%,25%,32%,36%,41%,31%,30%,31%,29%,28%
Net Profit +,47,39,43,51,75,51,51,62,84,62,70,87,130
EPS in Rs,16.19,13.43,14.90,16.99,25.23,17.11,17.20,19.47,26.74,19.03,21.22,25.95,37.08
Raw PDF,,,,,,,,,,,,,
