,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,447,299,484,625,835,657,805,896,"1,145","1,088","1,346","1,326","1,346"
Expenses +,419,308,441,569,780,636,729,814,"1,061",981,"1,214","1,196","1,249"
Operating Profit,28,-9,43,56,55,21,76,82,84,107,132,131,98
OPM %,6%,-3%,9%,9%,7%,3%,9%,9%,7%,10%,10%,10%,7%
Other Income +,8,4,10,4,8,36,5,9,20,16,16,8,17
Interest,23,22,30,32,31,35,37,34,28,28,40,35,34
Depreciation,9,9,9,9,9,12,9,9,9,11,11,11,11
Profit before tax,4,-37,14,20,23,11,36,49,67,85,98,93,69
Tax %,-4%,-33%,18%,54%,35%,20%,44%,47%,38%,38%,31%,25%,49%
Net Profit +,6,-21,15,13,18,13,25,30,45,59,74,76,39
EPS in Rs,0.17,-0.64,0.48,0.40,0.57,0.40,0.77,0.80,1.13,1.50,1.82,1.92,1.00
Raw PDF,,,,,,,,,,,,,
