,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,190,177,218,251,218,198,201,202,151,126,220,229,172
Expenses +,129,135,163,198,171,156,179,175,118,122,192,195,146
Operating Profit,61,42,56,53,47,42,23,27,33,4,28,34,27
OPM %,32%,24%,26%,21%,21%,21%,11%,13%,22%,3%,13%,15%,15%
Other Income +,1,4,3,2,5,3,3,4,4,4,4,5,3
Interest,1,4,2,2,2,2,1,1,1,1,1,1,1
Depreciation,2,3,2,3,3,3,4,4,4,4,4,4,5
Profit before tax,59,40,55,50,46,40,21,27,32,2,27,34,23
Tax %,27%,23%,25%,26%,25%,26%,27%,26%,26%,47%,27%,23%,31%
Net Profit +,43,31,41,37,35,30,16,20,24,1,19,26,16
EPS in Rs,3.75,2.66,3.57,3.23,3.02,2.60,1.35,1.69,2.08,0.09,1.69,2.25,1.40
Raw PDF,,,,,,,,,,,,,
