,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"5,932","5,627","5,810","6,218","6,194","6,679","6,761","6,737","6,475","6,766","6,900","6,764","6,723"
Expenses +,82,23,34,31,47,29,34,35,34,33,38,39,44
Operating Profit,"5,849","5,605","5,776","6,188","6,147","6,650","6,727","6,701","6,441","6,733","6,862","6,724","6,679"
OPM %,99%,100%,99%,100%,99%,100%,100%,99%,99%,100%,99%,99%,99%
Other Income +,1,0,1,4,36,2,1,3,3,0,1,3,1
Interest,"4,353","3,940","4,059","4,554","4,895","5,091","5,181","5,104","4,725","5,155","5,249","5,095","4,996"
Depreciation,5,4,4,4,3,4,2,1,2,2,1,1,1
Profit before tax,"1,493","1,662","1,714","1,633","1,285","1,557","1,545","1,599","1,717","1,577","1,613","1,631","1,682"
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,"1,492","1,662","1,714","1,633","1,285","1,557","1,545","1,599","1,717","1,577","1,613","1,631","1,682"
EPS in Rs,1.14,1.27,1.31,1.25,0.98,1.19,1.18,1.22,1.31,1.21,1.23,1.25,1.29
Raw PDF,,,,,,,,,,,,,
