,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,603,637,693,620,612,724,724,757,698,803,892,940,889
Expenses +,570,606,667,598,583,692,700,726,672,767,856,904,850
Operating Profit,33,31,26,21,29,32,25,32,26,37,36,36,38
OPM %,5%,5%,4%,3%,5%,4%,3%,4%,4%,5%,4%,4%,4%
Other Income +,2,2,1,1,2,4,3,6,4,3,4,4,4
Interest,7,7,8,7,8,9,10,10,9,11,12,13,14
Depreciation,4,4,5,5,5,4,5,5,5,5,5,5,5
Profit before tax,23,22,14,10,18,22,13,23,16,23,23,22,23
Tax %,27%,24%,27%,27%,27%,27%,29%,37%,25%,17%,27%,22%,21%
Net Profit +,17,17,10,8,13,16,9,14,12,19,16,17,18
EPS in Rs,3.61,3.75,2.26,1.72,2.80,3.42,2.13,3.12,2.62,4.00,3.14,3.82,3.73
Raw PDF,,,,,,,,,,,,,
