,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,162,95,70,187,255,98,18,82,14,188,8,167,9
Expenses +,197,127,109,198,283,141,53,121,68,230,55,193,64
Operating Profit,-36,-32,-39,-11,-27,-43,-35,-39,-54,-42,-48,-25,-55
OPM %,-22%,-34%,-56%,-6%,-11%,-44%,-196%,-48%,-379%,-22%,-627%,-15%,-597%
Other Income +,117,119,31,51,38,37,8,82,119,55,45,28,149
Interest,2,2,2,3,3,4,0,0,3,6,7,4,2
Depreciation,2,2,3,3,3,3,3,4,4,4,4,4,6
Profit before tax,78,83,-14,33,4,-14,-30,39,59,3,-14,-5,87
Tax %,-77%,9%,-47%,-4%,86%,-69%,-36%,-28%,-22%,-314%,0%,336%,2%
Net Profit +,138,76,-8,34,1,-4,-19,50,71,13,-14,-22,85
EPS in Rs,6.44,3.55,-0.36,1.56,0.02,-0.20,-0.89,2.35,3.36,0.60,-0.66,-1.05,3.99
Raw PDF,,,,,,,,,,,,,
