,Mar 2022,Mar 2023,Mar 2024
Sales +,"1,498","1,713","1,789"
Expenses +,"1,437","1,608","1,657"
Operating Profit,60,105,132
OPM %,4%,6%,7%
Other Income +,23,20,18
Interest,16,20,22
Depreciation,36,39,43
Profit before tax,31,66,84
Tax %,27%,26%,26%
Net Profit +,22,48,63
EPS in Rs,3.94,8.52,11.00
Dividend Payout %,22%,45%,0%
