,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,997,"1,030","1,020","1,151","1,146","1,196",986,"1,189","1,156","1,176","1,180",967,"1,138"
Expenses +,823,837,808,908,915,967,849,977,905,920,921,763,907
Operating Profit,174,193,212,243,231,228,137,213,250,256,259,203,230
OPM %,17%,19%,21%,21%,20%,19%,14%,18%,22%,22%,22%,21%,20%
Other Income +,5,4,5,5,1,3,0,2,1,2,2,3,6
Interest,5,6,7,13,17,19,22,26,29,29,27,26,27
Depreciation,39,40,43,44,48,49,49,53,52,53,53,53,57
Profit before tax,135,150,166,190,167,164,65,136,170,176,181,128,153
Tax %,25%,26%,23%,24%,26%,27%,27%,25%,26%,26%,26%,24%,23%
Net Profit +,101,111,128,145,124,120,48,102,126,130,135,97,118
EPS in Rs,4.07,4.48,5.14,5.84,5.14,4.94,1.98,4.21,5.18,5.35,5.56,4.01,4.85
Raw PDF,,,,,,,,,,,,,
