,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,656,728,694,739,772,836,724,806,822,866,801,869,848
Expenses +,582,621,616,626,659,708,635,663,692,741,687,727,728
Operating Profit,74,106,78,113,113,127,89,143,129,125,114,142,119
OPM %,11%,15%,11%,15%,15%,15%,12%,18%,16%,14%,14%,16%,14%
Other Income +,11,16,14,16,18,128,20,13,13,15,14,16,15
Interest,3,2,3,5,6,5,5,7,8,10,9,8,6
Depreciation,18,20,19,20,20,20,19,19,19,20,19,19,19
Profit before tax,64,100,70,104,105,231,86,130,114,110,100,131,111
Tax %,34%,27%,31%,31%,24%,26%,29%,30%,27%,31%,27%,28%,27%
Net Profit +,42,73,49,72,80,170,60,91,84,76,73,95,81
EPS in Rs,1.32,2.31,1.54,2.27,2.53,5.37,1.91,2.88,2.65,2.41,2.30,2.99,2.54
Raw PDF,,,,,,,,,,,,,
