,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,53,11,68,42,94,135,63,30,9,9,8,4,9
Expenses +,31,282,13,19,80,97,22,39,4,14,23,29,21
Operating Profit,22,-271,55,23,14,38,41,-9,6,-4,-15,-24,-11
OPM %,42%,"-2,366%",80%,55%,15%,28%,65%,-32%,60%,-43%,-178%,-566%,-120%
Other Income +,17,31,3,17,15,1,2,5,2,1,1,1,2
Interest,25,40,37,27,24,29,34,12,35,42,13,49,19
Depreciation,2,3,2,2,1,2,1,2,2,2,2,3,2
Profit before tax,12,-283,18,10,4,8,7,-18,-28,-47,-28,-76,-31
Tax %,30%,-14%,49%,21%,67%,82%,5%,-106%,18%,10%,11%,-11%,-8%
Net Profit +,9,-243,9,8,1,2,7,1,-33,-52,-31,-67,-29
EPS in Rs,0.29,-8.23,0.32,0.28,0.04,0.05,0.24,0.04,-1.13,-1.75,-1.04,-2.28,-0.97
Raw PDF,,,,,,,,,,,,,
