,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,621","1,340","1,549","1,850","1,484","3,239","1,866","1,774","2,419","3,141","1,825","1,360",561
Expenses +,"1,355","1,294","1,517","1,849","1,427","3,323","2,084","1,945","2,609","3,289","2,005","1,382",542
Operating Profit,266,46,32,2,57,-84,-218,-172,-190,-148,-179,-22,19
OPM %,16%,3%,2%,0%,4%,-3%,-12%,-10%,-8%,-5%,-10%,-2%,3%
Other Income +,27,49,15,84,35,221,224,187,176,174,270,"-1,225",40
Interest,26,28,46,56,79,68,66,74,114,150,170,102,55
Depreciation,28,28,30,34,36,41,57,43,69,70,69,52,33
Profit before tax,239,40,-28,-5,-23,27,-118,-102,-197,-194,-148,"-1,400",-29
Tax %,12%,0%,3%,-289%,54%,-6%,1%,0%,-1%,1%,3%,-0%,0%
Net Profit +,210,39,-29,9,-35,29,-119,-102,-196,-195,-152,"-1,400",-29
EPS in Rs,0.59,-0.03,-0.35,-0.07,-0.35,-0.37,-0.79,-0.56,-1.05,-1.20,-0.92,-9.31,-0.20
Raw PDF,,,,,,,,,,,,,
