,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,359,613,672,594,668
Expenses +,310,520,557,494,559
Operating Profit,49,93,115,100,110
OPM %,14%,15%,17%,17%,16%
Other Income +,10,10,11,7,9
Interest,16,14,16,15,59
Depreciation,12,19,20,16,50
Profit before tax,31,71,91,77,9
Tax %,30%,26%,25%,24%,32%
Net Profit +,21,52,68,58,6
EPS in Rs,19.71,45.87,59.54,50.83,5.07
Dividend Payout %,3%,1%,1%,1%,10%
