,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,347,292,317,342,402,409,507,559,686,640,645,583,537
Expenses +,221,198,212,226,250,271,348,318,350,340,379,337,351
Operating Profit,125,93,104,116,152,138,159,240,337,300,266,245,186
OPM %,36%,32%,33%,34%,38%,34%,31%,43%,49%,47%,41%,42%,35%
Other Income +,15,3,7,5,3,2,27,23,18,4,58,64,36
Interest,18,19,19,18,19,21,30,43,54,44,48,45,43
Depreciation,17,16,17,17,17,16,16,18,63,12,13,14,16
Profit before tax,105,61,75,85,119,102,140,203,237,248,264,250,163
Tax %,25%,29%,26%,24%,27%,27%,23%,26%,24%,26%,22%,21%,22%
Net Profit +,79,43,55,65,86,75,108,151,181,182,205,197,128
EPS in Rs,2.60,1.43,1.83,2.12,2.83,2.45,3.52,4.88,5.84,5.91,6.64,6.36,4.13
Raw PDF,,,,,,,,,,,,,
