,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,313,318,262,194,322,341,427,576
Expenses +,149,165,136,113,205,210,260,345
Operating Profit,164,153,126,81,116,132,167,231
OPM %,52%,48%,48%,42%,36%,39%,39%,40%
Other Income +,3,2,3,6,3,55,30,-219
Interest,12,12,11,9,5,5,8,12
Depreciation,103,98,90,88,24,30,34,41
Profit before tax,52,44,28,-10,91,152,154,-40
Tax %,96%,69%,-10%,-744%,20%,17%,19%,96%
Net Profit +,2,14,31,65,72,125,125,-79
EPS in Rs,199.00,"1,358.00","3,110.00",10.12,11.27,19.28,19.35,-14.08
Dividend Payout %,0%,0%,0%,0%,14%,10%,13%,-22%
