,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,283","2,875","3,075","3,589","2,880","3,196","3,226","4,167","1,575","3,428","3,644","2,201","1,719"
Expenses +,"1,910","2,406","2,679","3,153","2,687","2,904","2,904","3,613","1,540","3,070","3,286","1,908","1,520"
Operating Profit,373,468,396,436,193,292,323,553,35,358,358,293,199
OPM %,16%,16%,13%,12%,7%,9%,10%,13%,2%,10%,10%,13%,12%
Other Income +,28,32,22,31,39,61,46,51,84,48,75,98,233
Interest,89,94,104,132,142,187,208,245,152,220,250,151,143
Depreciation,267,270,291,318,348,367,389,444,287,436,461,301,302
Profit before tax,45,135,24,17,-259,-201,-229,-85,-321,-250,-278,-60,-12
Tax %,29%,30%,-24%,36%,-25%,-20%,-12%,27%,-17%,-14%,-23%,-30%,93%
Net Profit +,32,94,29,11,-195,-162,-200,-108,-266,-215,-215,-42,-24
EPS in Rs,0.46,1.04,0.40,0.17,-1.97,-1.49,-1.89,-0.82,-2.26,-1.59,-1.74,-0.48,-0.14
Raw PDF,,,,,,,,,,,,,
