,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,293,231,240,277,341,277,366,374,465,414,453,342,239
Expenses +,182,142,131,136,187,153,190,191,292,267,266,211,187
Operating Profit,111,88,109,141,154,125,176,183,174,147,186,131,52
OPM %,38%,38%,45%,51%,45%,45%,48%,49%,37%,35%,41%,38%,22%
Other Income +,2,2,3,4,3,1,2,1,1,7,4,7,3
Interest,8,10,14,18,15,15,17,28,30,19,22,22,27
Depreciation,3,3,3,3,3,3,3,4,4,4,4,4,6
Profit before tax,101,78,95,124,138,108,157,151,141,131,164,112,23
Tax %,24%,24%,24%,26%,23%,24%,28%,24%,18%,22%,24%,27%,19%
Net Profit +,76,59,72,93,107,82,113,115,116,103,124,82,19
EPS in Rs,4.62,3.62,4.40,5.66,6.53,5.03,6.90,7.01,6.04,5.08,5.69,3.76,0.86
Raw PDF,,,,,,,,,,,,,
