,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,197","2,412","2,466","3,507"
Expenses +,"2,091","2,307","2,321","3,238"
Operating Profit,106,105,144,269
OPM %,5%,4%,6%,8%
Other Income +,7,10,8,9
Interest,27,24,29,38
Depreciation,8,9,13,30
Profit before tax,78,82,110,210
Tax %,27%,27%,28%,30%
Net Profit +,57,60,79,146
EPS in Rs,62.93,65.83,6.05,9.24
Dividend Payout %,0%,0%,0%,0%
