,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,49.26,79.59,115.02,114.90,108.36,117.92,116.89,94.79,127.04,125.04,121.52,112.29
Expenses +,40.32,64.71,85.86,91.98,85.61,91.19,90.59,77.84,110.33,102.83,106.66,106.11
Operating Profit,8.94,14.88,29.16,22.92,22.75,26.73,26.30,16.95,16.71,22.21,14.86,6.18
OPM %,18.15%,18.70%,25.35%,19.95%,20.99%,22.67%,22.50%,17.88%,13.15%,17.76%,12.23%,5.50%
Other Income +,0.40,1.25,0.81,0.71,0.92,6.17,3.93,4.32,5.75,3.13,3.82,2.42
Interest,1.18,0.87,3.79,3.20,3.01,3.18,2.92,2.45,2.09,2.31,2.27,1.69
Depreciation,0.74,0.79,1.55,2.70,1.99,3.65,2.50,3.85,4.64,6.52,7.04,6.08
Profit before tax,7.42,14.47,24.63,17.73,18.67,26.07,24.81,14.97,15.73,16.51,9.37,0.83
Tax %,24.93%,22.81%,27.53%,21.77%,25.82%,30.00%,23.58%,36.41%,21.30%,21.74%,16.86%,180.72%
Net Profit +,5.57,11.16,17.85,13.87,13.85,18.24,18.96,9.52,12.37,12.92,7.80,-0.67
EPS in Rs,2.23,1.72,2.75,2.13,1.79,2.36,2.45,1.23,1.60,1.68,1.02,-0.30
Raw PDF,,,,,,,,,,,,
