,Mar 2023,Mar 2024,Mar 2025
Sales +,45,"1,855","2,043"
Expenses +,6,296,495
Operating Profit,39,"1,559","1,548"
OPM %,88%,84%,76%
Other Income +,10,429,429
Interest,0,10,8
Depreciation,0,22,23
Profit before tax,49,"1,956","1,947"
Tax %,37%,18%,17%
Net Profit +,31,"1,605","1,613"
EPS in Rs,,2.53,2.54
Dividend Payout %,0%,0%,20%
