,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,692","1,488","1,295","1,319","1,405"
Expenses +,139,247,122,230,170
Operating Profit,"1,553","1,240","1,173","1,089","1,235"
OPM %,92%,83%,91%,83%,88%
Other Income +,218,404,106,896,149
Interest,"1,151",996,809,767,759
Depreciation,622,546,485,308,287
Profit before tax,-1,102,-15,910,338
Tax %,"-1,470%",39%,-79%,23%,26%
Net Profit +,15,62,-3,698,251
EPS in Rs,1.46,5.94,-0.30,66.85,4.17
Dividend Payout %,0%,0%,0%,0%,5%
