,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,301","1,840","1,984","2,021","2,151","1,875","1,916","1,938","2,080","1,893","1,529","1,868","2,146"
Expenses +,"2,149","1,770","1,855","1,859","1,899","1,761","1,778","1,783","1,915","1,742","1,453","1,718","1,943"
Operating Profit,152,70,129,163,252,114,137,155,166,151,76,150,202
OPM %,7%,4%,7%,8%,12%,6%,7%,8%,8%,8%,5%,8%,9%
Other Income +,2,1,2,1,2,2,2,4,7,8,7,6,9
Interest,15,13,11,11,10,6,6,7,4,5,6,5,5
Depreciation,28,28,29,30,29,29,29,30,29,30,31,30,31
Profit before tax,112,30,91,123,215,81,104,121,139,123,46,121,175
Tax %,26%,26%,25%,27%,28%,27%,27%,26%,25%,25%,26%,26%,26%
Net Profit +,83,22,68,90,156,59,76,90,104,92,34,90,130
EPS in Rs,3.81,1.02,3.13,4.12,7.15,2.72,3.49,4.14,4.78,4.25,1.57,4.13,5.98
Raw PDF,,,,,,,,,,,,,
