,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,435,"1,355","1,549","2,039","1,912"
Expenses +,403,"1,265","1,419","1,887","1,771"
Operating Profit,33,89,129,152,141
OPM %,8%,7%,8%,7%,7%
Other Income +,5,4,4,9,18
Interest,9,8,6,5,4
Depreciation,2,3,4,6,8
Profit before tax,27,82,123,150,147
Tax %,26%,26%,26%,25%,
Net Profit +,20,61,90,113,112
EPS in Rs,0.95,2.58,2.67,3.29,3.09
Dividend Payout %,11%,0%,2%,4%,
