,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,489","1,652","1,628","1,834","1,723","1,699","1,806","1,887","1,885","1,975","1,899","2,081","2,075"
Expenses +,"1,414","1,547","1,515","1,690","1,582","1,534","1,623","1,693","1,709","1,754","1,725","1,873","1,889"
Operating Profit,74,105,114,144,141,165,183,194,176,221,174,208,186
OPM %,5%,6%,7%,8%,8%,10%,10%,10%,9%,11%,9%,10%,9%
Other Income +,-255,-243,-71,-763,4,21,-9,15,34,12,6,7,-88
Interest,35,37,38,49,51,53,49,50,50,45,44,43,42
Depreciation,79,84,85,77,82,92,80,85,89,82,80,82,81
Profit before tax,-295,-258,-81,-745,11,41,44,74,71,105,56,91,-25
Tax %,0%,10%,4%,7%,-91%,3%,23%,25%,-443%,44%,39%,36%,82%
Net Profit +,-295,-285,-84,-795,22,40,34,56,384,58,34,58,-45
EPS in Rs,-19.37,-18.67,-5.55,-52.03,1.34,2.59,2.11,3.55,25.05,3.72,2.12,3.64,-3.10
Raw PDF,,,,,,,,,,,,,
