,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,857","3,223","3,085","2,922","3,428","3,333","2,941","3,315","3,606","3,612","3,634","3,753","4,139"
Expenses +,"2,194","2,617","2,842","2,699","3,001","2,919","2,634","2,908","3,165","3,124","3,227","3,297","3,624"
Operating Profit,663,607,244,222,427,414,307,407,442,488,407,456,515
OPM %,23%,19%,8%,8%,12%,12%,10%,12%,12%,14%,11%,12%,12%
Other Income +,15,22,22,38,23,30,38,40,51,51,75,51,54
Interest,6,7,15,33,39,37,35,40,22,27,30,41,44
Depreciation,91,95,110,132,137,158,177,182,139,136,144,203,229
Profit before tax,581,527,140,95,275,249,133,226,332,376,307,263,297
Tax %,25%,21%,21%,32%,8%,19%,-261%,44%,34%,26%,30%,25%,26%
Net Profit +,433,414,111,65,254,202,482,126,220,278,216,197,220
EPS in Rs,16.89,16.26,4.48,2.64,10.05,8.00,18.98,4.99,7.76,9.96,7.72,7.08,7.84
Raw PDF,,,,,,,,,,,,,
