,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,552,500,475,656,693,532,584,541,572,492,495,531,560
Expenses +,490,449,424,578,615,473,518,483,508,444,444,473,497
Operating Profit,62,52,50,78,78,59,66,58,64,49,51,57,63
OPM %,11%,10%,11%,12%,11%,11%,11%,11%,11%,10%,10%,11%,11%
Other Income +,0,1,1,1,1,2,4,4,5,6,6,6,9
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,10,10,10,10,10,9,9,9,9,8,8,9,9
Profit before tax,52,42,41,68,68,51,60,53,59,46,48,54,62
Tax %,25%,27%,26%,25%,25%,26%,25%,26%,25%,26%,26%,27%,26%
Net Profit +,39,30,30,51,51,38,45,39,44,34,36,40,46
EPS in Rs,25.70,20.12,19.94,33.54,33.62,25.03,29.84,25.91,29.18,22.53,23.80,26.19,30.39
Raw PDF,,,,,,,,,,,,,
