,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,317,448,585,830,"1,166"
Interest,106,149,211,290,355
Expenses +,99,138,185,243,320
Financing Profit,112,162,189,298,490
Financing Margin %,35%,36%,32%,36%,42%
Other Income +,6,12,21,32,10
Depreciation,5,7,8,10,12
Profit before tax,113,167,202,319,489
Tax %,23%,23%,23%,22%,23%
Net Profit +,87,128,155,248,378
EPS in Rs,20.33,29.39,35.41,23.13,35.02
Dividend Payout %,-0%,-0%,-0%,-0%,-0%
