,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,373,400,293,365,382,343,290,413,284,213,240,242,346
Expenses +,213,239,175,205,188,208,195,267,197,141,166,162,257
Operating Profit,160,161,119,160,194,135,95,145,87,71,75,80,88
OPM %,43%,40%,40%,44%,51%,39%,33%,35%,31%,33%,31%,33%,26%
Other Income +,4,9,19,7,8,11,11,9,12,10,-29,9,8
Interest,39,39,35,19,3,3,2,2,2,2,3,3,0
Depreciation,17,18,17,17,17,18,18,18,18,19,19,20,21
Profit before tax,107,113,86,131,182,125,87,135,80,61,23,66,75
Tax %,24%,25%,26%,25%,25%,25%,24%,25%,28%,26%,31%,27%,28%
Net Profit +,82,84,64,98,137,94,66,102,58,45,16,48,54
EPS in Rs,8.47,8.76,6.60,7.97,11.09,7.63,5.36,8.23,4.67,3.64,1.28,3.89,4.34
Raw PDF,,,,,,,,,,,,,
