,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,215,202,195,203,204,208
Expenses +,176,165,161,167,166,174
Operating Profit,39,36,34,36,39,34
OPM %,18%,18%,18%,18%,19%,16%
Other Income +,0,0,1,1,0,2
Interest,4,3,4,5,5,5
Depreciation,4,4,4,4,4,5
Profit before tax,31,30,27,28,29,26
Tax %,25%,25%,26%,26%,26%,26%
Net Profit +,23,22,20,21,22,19
EPS in Rs,2.39,2.22,2.00,2.08,2.17,1.93
Raw PDF,,,,,,
