,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,38,78,108,28,44,79,122,34,36,63,124,34,41
Expenses +,21,24,21,19,23,21,22,20,22,23,22,24,26
Operating Profit,17,54,87,9,22,58,100,14,14,41,102,11,16
OPM %,44%,69%,80%,31%,49%,74%,82%,41%,40%,64%,82%,31%,38%
Other Income +,1,3,-6,47,9,-7,15,6,1,5,4,6,8
Interest,28,28,27,26,28,21,20,20,19,19,19,18,17
Depreciation,22,21,21,21,21,21,21,21,21,21,21,21,21
Profit before tax,-32,9,34,10,-19,9,75,-21,-25,6,66,-22,-14
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,0%,0%,8%
Net Profit +,-32,9,34,10,-19,9,75,-21,-25,6,66,-22,-15
EPS in Rs,-0.29,0.08,0.29,0.09,-0.17,0.07,0.64,-0.18,-0.22,0.06,0.57,-0.20,-0.14
Raw PDF,,,,,,,,,,,,,
