,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,58,149,66,113,99,185,75,124,100,173,67,122,97
Expenses +,38,58,47,57,56,68,55,69,64,82,68,84,77
Operating Profit,20,91,19,56,42,117,20,54,35,91,-1,37,20
OPM %,34%,61%,29%,50%,43%,63%,27%,44%,36%,53%,-2%,31%,20%
Other Income +,1,3,4,5,14,6,6,6,5,5,4,5,11
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,10,9,9,9,9,10,8,10,10,12,15,15,16
Profit before tax,12,85,14,52,47,112,18,50,30,83,-12,27,15
Tax %,28%,24%,27%,26%,26%,25%,27%,26%,25%,24%,-222%,26%,25%
Net Profit +,9,64,11,39,35,84,14,37,23,63,15,20,11
EPS in Rs,1.50,11.38,1.86,6.88,6.20,14.93,2.39,6.60,4.00,11.18,2.60,3.20,1.74
Raw PDF,,,,,,,,,,,,,
