,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,611","2,827","2,219","1,956","2,977","3,382","3,288","3,798"
Expenses +,"1,561","2,745","2,142","1,842","2,800","3,144","3,069","3,578"
Operating Profit,51,82,77,114,176,238,219,220
OPM %,3%,3%,3%,6%,6%,7%,7%,6%
Other Income +,4,7,6,6,11,4,5,6
Interest,17,53,45,38,35,51,53,67
Depreciation,13,53,63,62,70,87,101,122
Profit before tax,25,-18,-25,20,82,104,70,37
Tax %,30%,39%,17%,44%,20%,18%,18%,
Net Profit +,18,-24,-29,11,66,85,57,27
EPS in Rs,22.33,-31.92,-15.69,6.19,17.88,21.32,13.56,6.08
Dividend Payout %,3%,0%,0%,0%,0%,11%,11%,
