,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,0.37,0.07,13.44,38.05,10.71,16.25,18.34,16.35,21.08,8.74,2.24,3.18
Expenses +,1.47,1.17,4.03,17.70,9.82,8.36,7.22,7.24,10.65,3.47,1.57,3.45
Operating Profit,-1.10,-1.10,9.41,20.35,0.89,7.89,11.12,9.11,10.43,5.27,0.67,-0.27
OPM %,-297.30%,"-1,571.43%",70.01%,53.48%,8.31%,48.55%,60.63%,55.72%,49.48%,60.30%,29.91%,-8.49%
Other Income +,0.04,0.01,0.04,0.07,0.07,0.01,0.37,0.18,0.04,0.35,0.22,0.68
Interest,1.32,0.59,0.75,0.43,0.32,0.42,0.32,0.10,0.29,0.03,0.03,0.06
Depreciation,0.06,0.02,0.08,0.05,0.04,0.06,0.24,0.19,-0.12,0.09,0.11,0.12
Profit before tax,-2.44,-1.70,8.62,19.94,0.60,7.42,10.93,9.00,10.30,5.50,0.75,0.23
Tax %,57.79%,0.00%,31.67%,9.73%,268.33%,-0.94%,25.16%,27.44%,45.73%,25.82%,70.67%,21.74%
Net Profit +,-3.85,-1.70,5.89,18.00,-1.02,7.48,8.19,6.54,5.59,4.09,0.22,0.19
EPS in Rs,-0.22,-0.10,0.34,1.04,-0.06,0.43,0.47,0.38,0.32,0.24,0.01,0.01
Raw PDF,,,,,,,,,,,,
