,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,193,293,314,303,303,427,370,388,365,450,458,443,421
Expenses +,176,251,272,248,244,348,307,320,299,384,410,392,360
Operating Profit,17,42,42,55,58,79,63,68,67,66,48,50,61
OPM %,9%,14%,13%,18%,19%,19%,17%,18%,18%,15%,10%,11%,14%
Other Income +,-7,2,3,3,3,2,3,4,5,8,7,7,6
Interest,1,1,2,3,2,3,2,2,2,2,2,2,2
Depreciation,6,7,8,9,9,13,12,13,14,14,15,15,15
Profit before tax,3,35,35,46,50,66,52,57,56,58,38,41,49
Tax %,10%,25%,25%,24%,23%,24%,23%,24%,23%,23%,22%,24%,24%
Net Profit +,2,27,26,34,38,50,40,43,43,44,30,31,38
EPS in Rs,0.54,5.94,5.47,7.27,8.03,10.54,8.35,9.02,8.86,9.11,6.07,6.37,7.69
Raw PDF,,,,,,,,,,,,,
