,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,103,40,108,87,108,55,95,150,228
Expenses +,89,33,93,80,95,45,80,128,194
Operating Profit,14,7,14,7,13,10,15,22,34
OPM %,13%,17%,13%,8%,12%,18%,16%,15%,15%
Other Income +,0,-0,6,2,-0,1,3,3,7
Interest,2,0,2,1,3,2,2,2,2
Depreciation,2,2,2,2,3,2,3,3,6
Profit before tax,10,4,17,5,7,6,14,21,33
Tax %,27%,24%,24%,25%,13%,24%,25%,25%,27%
Net Profit +,7,3,13,4,6,5,10,16,24
EPS in Rs,4.17,1.99,7.69,2.33,3.68,2.08,4.51,6.97,10.50
Raw PDF,,,,,,,,,
