,"Mar 2015
            
              15m",Mar 2024,Mar 2025
Sales +,"2,009","2,222","2,982"
Expenses +,"1,924","1,959","2,632"
Operating Profit,86,264,350
OPM %,4%,12%,12%
Other Income +,6,9,12
Interest,24,3,6
Depreciation,32,37,53
Profit before tax,36,233,304
Tax %,47%,26%,23%
Net Profit +,19,173,235
EPS in Rs,10.76,98.47,133.72
Dividend Payout %,37%,0%,0%
