,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,46.18,45.07,61.79,61.79,71.61,56.80,56.57,47.39,59.96,52.43,50.86,55.18,61.13
Expenses +,53.20,35.28,44.23,44.05,55.56,50.63,33.96,34.42,40.14,40.89,33.94,36.63,45.53
Operating Profit,-7.02,9.79,17.56,17.74,16.05,6.17,22.61,12.97,19.82,11.54,16.92,18.55,15.60
OPM %,-15.20%,21.72%,28.42%,28.71%,22.41%,10.86%,39.97%,27.37%,33.06%,22.01%,33.27%,33.62%,25.52%
Other Income +,-0.54,15.44,1.37,-0.68,16.33,14.49,0.31,13.20,-1.53,30.75,7.06,9.21,12.22
Interest,10.19,15.46,17.99,14.04,17.67,7.90,4.70,6.57,4.85,9.32,5.75,4.71,3.95
Depreciation,16.18,10.76,16.52,14.84,14.37,13.75,13.18,13.33,13.28,13.16,13.25,13.40,13.47
Profit before tax,-33.93,-0.99,-15.58,-11.82,0.34,-0.99,5.04,6.27,0.16,19.81,4.98,9.65,10.40
Tax %,-5.19%,97.98%,-25.67%,-30.54%,"-1,282.35%",83.84%,47.02%,8.13%,943.75%,-3.99%,16.87%,37.20%,50.10%
Net Profit +,-32.17,-1.96,-11.58,-8.21,4.70,-1.82,2.67,5.76,-1.35,20.60,4.14,6.06,5.19
EPS in Rs,-1.37,-0.08,-0.49,-0.35,0.16,-0.02,0.08,0.20,-0.05,0.73,0.13,0.18,0.11
Raw PDF,,,,,,,,,,,,,
