,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,169,174,191,205,190,220,268,279,250,266,296
Expenses +,116,121,129,135,145,169,183,194,168,173,185
Operating Profit,53,53,62,70,45,51,85,85,82,92,110
OPM %,31%,30%,33%,34%,24%,23%,32%,31%,33%,35%,37%
Other Income +,7,15,5,15,2,3,-71,14,7,5,3
Interest,137,128,123,135,108,115,65,58,56,56,62
Depreciation,24,24,25,23,23,28,31,32,30,29,29
Profit before tax,-101,-84,-80,-74,-83,-88,-83,11,3,12,22
Tax %,0%,0%,0%,0%,0%,-0%,-10%,-7%,-21%,-3%,-2%
Net Profit +,-101,-84,-80,-74,-83,-88,-74,11,4,13,23
EPS in Rs,-13.23,-10.98,-10.53,-8.63,-9.78,-4.04,-3.41,0.52,0.19,0.57,1.04
Raw PDF,,,,,,,,,,,
