,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,275.62,639.08,436.70,178.10,279.06,525.70,773.68,377.10,376.84
Expenses +,271.54,577.92,407.71,170.68,255.67,470.81,722.17,368.19,353.66
Operating Profit,4.08,61.16,28.99,7.42,23.39,54.89,51.51,8.91,23.18
OPM %,1.48%,9.57%,6.64%,4.17%,8.38%,10.44%,6.66%,2.36%,6.15%
Other Income +,0.34,1.10,0.79,0.73,1.88,5.55,6.13,4.74,4.87
Interest,6.71,9.27,9.80,8.09,9.74,11.32,14.01,13.75,12.44
Depreciation,6.27,7.06,7.75,8.32,8.86,10.55,11.32,11.60,12.11
Profit before tax,-8.56,45.93,12.23,-8.26,6.67,38.57,32.31,-11.70,3.50
Tax %,-26.87%,27.39%,28.62%,-26.51%,26.69%,27.85%,27.55%,-27.35%,28.00%
Net Profit +,-6.25,33.35,8.73,-6.08,4.89,27.83,23.41,-8.49,2.51
EPS in Rs,-1.20,6.40,1.68,-1.17,0.62,2.91,2.44,-0.88,0.26
Raw PDF,,,,,,,,,
