,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,930","2,652","2,401","2,605","2,928","2,806","2,573","2,421","2,933","2,636","2,269","2,409","3,042"
Expenses +,"2,505","2,283","2,209","2,336","2,548","2,413","2,243","2,011","2,443","2,293","2,050","2,151","2,491"
Operating Profit,425,370,192,268,380,393,330,410,491,343,219,258,552
OPM %,14%,14%,8%,10%,13%,14%,13%,17%,17%,13%,10%,11%,18%
Other Income +,15,5,2,4,-403,9,6,11,7,5,10,0,4
Interest,131,117,124,134,137,135,140,133,125,127,132,126,113
Depreciation,244,233,240,240,239,244,226,231,218,216,215,217,220
Profit before tax,64,25,-170,-101,-399,24,-30,57,155,5,-118,-85,224
Tax %,55%,17%,-23%,-25%,-150%,39%,-105%,45%,35%,44%,-28%,-28%,26%
Net Profit +,29,20,-130,-75,201,14,2,31,100,3,-85,-61,166
EPS in Rs,0.82,0.57,-3.65,-2.11,5.63,0.40,0.04,0.87,2.81,0.08,-2.38,-1.72,4.63
Raw PDF,,,,,,,,,,,,,
