,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,145,121,107,86,89,80,80,63,78,83,91,99,110
Expenses +,126,105,93,74,77,67,66,49,62,69,76,79,90
Operating Profit,19,16,15,13,12,13,14,14,16,14,15,19,20
OPM %,13%,13%,14%,15%,14%,16%,17%,23%,20%,17%,17%,19%,18%
Other Income +,1,0,0,0,1,1,0,0,0,0,1,0,1
Interest,1,1,1,1,1,1,1,1,0,0,0,1,1
Depreciation,1,1,1,1,1,1,1,2,2,2,2,2,2
Profit before tax,18,15,13,11,11,12,12,12,14,12,14,17,18
Tax %,24%,26%,21%,30%,20%,27%,22%,27%,25%,29%,24%,25%,32%
Net Profit +,14,11,10,8,9,8,9,9,10,8,10,13,12
EPS in Rs,2.76,2.20,2.05,1.54,1.76,1.68,1.80,1.72,2.10,1.69,2.07,2.55,2.38
Raw PDF,,,,,,,,,,,,,
