,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,526","1,611","1,725","1,778","1,821","1,778","1,978","1,942","2,075","2,071","2,108","2,275","2,228"
Expenses +,"1,376","1,445","1,553","1,613","1,625","1,564","1,737","1,703","1,830","1,830","1,879","2,025","1,970"
Operating Profit,151,166,172,166,196,214,240,239,245,241,229,250,258
OPM %,10%,10%,10%,9%,11%,12%,12%,12%,12%,12%,11%,11%,12%
Other Income +,11,9,7,22,34,25,26,20,28,28,35,17,36
Interest,19,17,18,22,26,22,19,18,23,19,20,24,26
Depreciation,35,29,30,32,35,36,36,36,45,42,45,46,53
Profit before tax,108,129,131,133,169,181,211,204,204,208,200,198,216
Tax %,30%,26%,27%,25%,22%,24%,26%,25%,27%,25%,25%,27%,26%
Net Profit +,75,95,95,100,132,137,157,153,150,155,151,145,161
EPS in Rs,2.24,2.80,2.80,2.98,3.69,3.96,4.49,4.35,4.28,4.41,4.27,4.13,4.62
Raw PDF,,,,,,,,,,,,,
