,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,52,102,107,38,31,152,124,51,57,142,142,4,16
Expenses +,23,11,7,6,8,9,10,6,8,12,9,9,9
Operating Profit,29,91,100,32,22,143,114,44,49,131,133,-5,7
OPM %,56%,89%,94%,84%,73%,94%,92%,87%,86%,92%,94%,-147%,45%
Other Income +,0,7,11,11,7,14,13,17,23,25,23,26,29
Interest,0,0,0,3,5,5,5,1,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,1
Profit before tax,29,97,111,39,24,152,122,60,72,156,156,21,36
Tax %,30%,8%,4%,11%,18%,3%,-1%,11%,16%,16%,21%,5%,-5%
Net Profit +,20,90,107,35,20,148,124,53,60,131,124,20,38
EPS in Rs,3.98,17.78,21.17,6.82,4.01,29.02,24.60,10.52,11.95,25.91,24.45,3.88,7.46
Raw PDF,,,,,,,,,,,,,
