,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,701,822,779,706,765,858,886,878,902,913,976,942,"1,105"
Expenses +,648,772,732,658,707,788,814,804,836,838,905,862,"1,020"
Operating Profit,52,51,47,48,58,70,72,74,66,75,71,80,85
OPM %,7%,6%,6%,7%,8%,8%,8%,8%,7%,8%,7%,9%,8%
Other Income +,1,3,4,5,2,1,2,1,9,5,18,4,8
Interest,14,18,15,17,15,22,19,21,15,22,17,20,22
Depreciation,8,8,8,8,9,9,9,9,9,10,10,10,14
Profit before tax,32,29,28,28,36,40,46,46,50,48,62,54,57
Tax %,24%,26%,27%,34%,23%,29%,24%,31%,26%,25%,25%,23%,27%
Net Profit +,24,21,20,18,28,29,35,32,37,36,47,41,42
EPS in Rs,9.34,8.11,7.83,6.75,10.26,10.49,12.73,11.20,11.60,10.91,14.11,12.51,12.81
Raw PDF,,,,,,,,,,,,,
