,Mar 2024,Mar 2025
Sales +,508,543
Expenses +,451,479
Operating Profit,56,64
OPM %,11%,12%
Other Income +,7,5
Interest,3,3
Depreciation,15,15
Profit before tax,46,51
Tax %,25%,26%
Net Profit +,34,38
EPS in Rs,5.76,6.39
Dividend Payout %,22%,23%
