,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,425","1,539","1,576","1,545","1,381","1,182","1,224","1,195","1,440","1,195","1,224","1,415","1,720"
Expenses +,"1,028","1,085","1,127","1,141","1,095","1,015","1,037","1,014","1,198","1,024","1,045","1,130","1,300"
Operating Profit,397,454,449,404,286,167,188,181,241,171,178,285,421
OPM %,28%,30%,28%,26%,21%,14%,15%,15%,17%,14%,15%,20%,24%
Other Income +,1,2,1,1,2,4,2,2,19,3,5,9,59
Interest,31,29,40,43,53,39,42,51,50,49,53,58,56
Depreciation,66,71,82,84,87,91,93,98,102,106,108,106,110
Profit before tax,302,356,328,278,147,41,54,35,107,18,23,131,312
Tax %,23%,29%,29%,27%,27%,30%,27%,27%,30%,34%,22%,31%,25%
Net Profit +,232,252,233,203,105,27,37,23,75,13,20,93,233
EPS in Rs,4.29,4.68,4.33,3.77,1.91,0.46,0.69,0.43,1.40,0.23,0.37,1.71,4.33
Raw PDF,,,,,,,,,,,,,
