,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,318","1,434","2,660","3,535","4,077","5,241","6,144"
Expenses +,"1,248","1,354","2,479","3,248","3,749","4,853","5,816"
Operating Profit,70,80,182,287,329,389,328
OPM %,5%,6%,7%,8%,8%,7%,5%
Other Income +,3,6,15,13,31,42,53
Interest,19,26,73,80,98,121,129
Depreciation,3,7,40,42,46,60,67
Profit before tax,51,53,84,177,216,250,185
Tax %,29%,33%,27%,27%,27%,27%,
Net Profit +,36,36,61,129,158,181,129
EPS in Rs,10.25,10.07,5.78,12.13,14.19,11.65,8.20
Dividend Payout %,12%,0%,0%,4%,5%,9%,
