,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"8,504","8,595","11,590","10,558","10,182","9,900","10,567","11,366","11,686","10,418","10,786","10,703","11,664"
Expenses +,"9,234","8,436","11,556","9,668","10,073","9,557","10,813","10,500","11,252","10,148","10,646","10,605","11,239"
Operating Profit,-729,158,33,891,109,343,-246,866,434,270,140,98,426
OPM %,-9%,2%,0%,8%,1%,3%,-2%,8%,4%,3%,1%,1%,4%
Other Income +,59,3,4,17,41,-25,4,0,36,2,1,9,77
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-670,161,38,908,150,318,-242,866,470,272,141,107,502
Tax %,-18%,19%,-12%,18%,4%,16%,-19%,18%,34%,14%,48%,-221%,36%
Net Profit +,-554,137,53,736,124,261,-175,722,313,243,91,349,356
EPS in Rs,-3.35,0.81,0.31,4.47,0.77,1.58,-1.07,4.38,1.89,1.45,0.54,2.12,2.18
Raw PDF,,,,,,,,,,,,,
