,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,368,302,403,348,364,401,422,445,423,455,438,453,466
Expenses +,350,288,374,328,348,375,388,394,375,404,394,417,424
Operating Profit,19,15,29,21,16,26,34,51,48,52,44,36,42
OPM %,5%,5%,7%,6%,4%,7%,8%,11%,11%,11%,10%,8%,9%
Other Income +,3,1,1,1,3,2,3,4,4,3,5,5,5
Interest,1,0,0,1,1,0,0,2,1,1,1,1,5
Depreciation,7,7,7,7,7,8,8,8,10,6,2,5,16
Profit before tax,14,8,22,14,11,21,29,44,42,48,46,35,26
Tax %,13%,32%,29%,36%,26%,29%,26%,27%,32%,25%,24%,24%,21%
Net Profit +,12,6,16,9,8,15,21,32,29,36,35,27,20
EPS in Rs,0.26,0.11,0.31,0.18,0.16,0.29,0.42,0.63,0.55,0.71,0.64,0.49,0.37
Raw PDF,,,,,,,,,,,,,
