,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,350,343,440,459,501,531,547,593,646,688,692,474,466
Interest,137,143,157,168,174,183,191,201,215,223,227,214,179
Expenses +,219,116,167,163,192,208,213,243,286,532,884,773,458
Financing Profit,-5,84,115,128,134,140,143,149,145,-67,-420,-513,-171
Financing Margin %,-1%,24%,26%,28%,27%,26%,26%,25%,22%,-10%,-61%,-108%,-37%
Other Income +,22,18,13,8,20,22,25,20,29,18,12,9,10
Depreciation,2,1,2,2,2,2,2,2,3,2,3,3,3
Profit before tax,16,100,126,134,152,159,166,166,172,-51,-410,-508,-165
Tax %,16%,25%,25%,23%,25%,24%,24%,24%,23%,-30%,-26%,42%,0%
Net Profit +,13,75,95,102,115,120,126,126,133,-36,-305,-719,-165
EPS in Rs,0.98,5.55,7.03,6.34,7.09,7.46,7.75,7.80,8.19,-2.20,-18.82,-44.38,-10.15
Gross NPA %,,,3.83%,3.69%,3.46%,3.20%,2.68%,3.04%,2.89%,5.46%,9.41%,12.58%,
Net NPA %,,,1.12%,,0.87%,0.78%,0.65%,0.77%,0.77%,1.25%,2.41%,1.71%,
Raw PDF,,,,,,,,,,,,,
