,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,445","4,025","4,021","3,843","4,852","4,506","3,938","3,590","4,567","4,248","4,805","4,825","5,780"
Expenses +,"3,955","3,708","3,801","3,469","4,252","4,264","3,672","3,311","4,511","3,914","4,230","4,228","5,186"
Operating Profit,490,317,220,373,600,242,266,279,56,334,575,597,593
OPM %,11%,8%,5%,10%,12%,5%,7%,8%,1%,8%,12%,12%,10%
Other Income +,312,261,302,413,442,532,397,380,536,"1,072",439,436,695
Interest,175,188,223,248,284,303,333,348,369,433,477,505,542
Depreciation,72,72,76,78,79,86,89,96,100,101,108,111,110
Profit before tax,554,318,224,460,679,386,240,216,122,873,429,417,635
Tax %,24%,19%,2%,17%,17%,24%,32%,24%,121%,27%,-14%,25%,34%
Net Profit +,423,258,219,382,562,291,164,165,-25,641,489,312,416
EPS in Rs,6.75,6.06,4.64,9.34,8.91,5.29,2.59,3.16,-9.26,9.58,8.54,5.59,5.44
Raw PDF,,,,,,,,,,,,,
