,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"6,660","9,927","8,470","9,600","10,400","13,203","9,691","11,429","11,093","13,578","10,724","11,148","11,995"
Expenses +,"6,002","8,733","7,701","8,580","9,055","11,245","8,183","9,559","9,131","10,975","8,856","9,108","9,659"
Operating Profit,658,"1,194",770,"1,020","1,344","1,958","1,509","1,870","1,961","2,603","1,868","2,040","2,336"
OPM %,10%,12%,9%,11%,13%,15%,16%,16%,18%,19%,17%,18%,19%
Other Income +,-34,-233,5,32,36,97,53,-1,46,-25,36,245,75
Interest,465,463,467,499,545,582,655,715,783,829,904,962,"1,011"
Depreciation,214,234,212,209,220,259,227,227,241,233,235,244,268
Profit before tax,-56,264,96,344,615,"1,214",679,927,984,"1,516",765,"1,078","1,132"
Tax %,92%,40%,77%,46%,43%,34%,14%,39%,38%,38%,28%,29%,28%
Net Profit +,-108,158,22,186,351,803,584,569,609,934,551,767,820
EPS in Rs,-0.41,0.48,0.02,0.56,1.09,2.56,1.85,1.79,1.91,2.91,1.73,2.40,2.59
Raw PDF,,,,,,,,,,,,,
