,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,117,181,101,112,105,142,132,140,140,158,161,166,186
Expenses +,79,106,70,84,91,87,88,108,99,103,98,101,120
Operating Profit,38,75,31,29,14,55,44,32,41,56,63,65,66
OPM %,33%,42%,31%,25%,13%,39%,34%,23%,30%,35%,39%,39%,36%
Other Income +,5,4,2,3,3,2,3,2,3,2,2,3,2
Interest,1,1,1,1,1,1,1,0,0,1,0,0,1
Depreciation,3,3,3,3,3,3,4,4,4,4,5,5,5
Profit before tax,40,75,30,27,13,53,43,30,40,53,60,62,63
Tax %,1%,39%,16%,39%,25%,28%,33%,20%,26%,31%,25%,26%,25%
Net Profit +,40,46,25,17,10,38,29,24,30,37,45,46,47
EPS in Rs,4.93,5.74,3.14,2.09,1.18,4.75,3.54,2.97,3.70,4.59,5.55,5.73,5.81
Raw PDF,,,,,,,,,,,,,
