,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,529,553,764,"1,031","1,818","2,664"
Expenses +,367,348,466,639,"1,297","1,894"
Operating Profit,162,205,298,392,521,770
OPM %,31%,37%,39%,38%,29%,29%
Other Income +,31,16,1,-2,40,39
Interest,7,8,7,6,61,90
Depreciation,40,30,23,25,59,113
Profit before tax,145,183,269,359,442,606
Tax %,5%,9%,13%,15%,16%,20%
Net Profit +,137,165,233,305,370,486
EPS in Rs,166.73,200.10,13.61,17.86,21.68,28.33
Dividend Payout %,0%,12%,393%,0%,46%,0%
