,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,373,361,340,285,406,328,413,332,500,334,447,381,549
Expenses +,318,324,310,266,398,302,371,299,443,298,398,339,493
Operating Profit,55,37,30,19,8,26,41,32,57,36,49,42,57
OPM %,15%,10%,9%,7%,2%,8%,10%,10%,11%,11%,11%,11%,10%
Other Income +,4,3,0,1,1,1,1,1,2,1,1,2,2
Interest,5,3,4,4,3,3,4,5,6,7,7,7,7
Depreciation,4,4,4,5,4,4,4,6,7,8,9,9,11
Profit before tax,50,33,23,11,2,19,33,23,46,22,34,27,41
Tax %,26%,14%,20%,22%,76%,22%,26%,22%,27%,26%,23%,26%,27%
Net Profit +,36,27,17,8,0,15,25,18,34,16,26,20,30
EPS in Rs,6.42,4.76,3.05,1.36,0.10,2.56,4.38,3.12,5.83,2.70,4.67,3.52,5.16
Raw PDF,,,,,,,,,,,,,
