,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,56.23,24.11,26.49,24.95,62.10,32.10,34.41,46.92,106.63,79.34,52.77,104.33,171.34
Expenses +,52.81,25.03,24.08,22.55,58.49,30.04,31.39,41.87,97.81,75.15,47.87,94.00,153.73
Operating Profit,3.42,-0.92,2.41,2.40,3.61,2.06,3.02,5.05,8.82,4.19,4.90,10.33,17.61
OPM %,6.08%,-3.82%,9.10%,9.62%,5.81%,6.42%,8.78%,10.76%,8.27%,5.28%,9.29%,9.90%,10.28%
Other Income +,0.58,0.40,0.21,0.07,0.15,0.45,0.04,0.18,0.30,0.25,0.17,0.46,1.01
Interest,0.61,0.51,0.65,0.90,1.12,1.17,1.14,0.91,1.19,1.04,1.12,2.60,3.95
Depreciation,0.18,0.19,0.19,0.20,0.20,0.19,0.19,0.20,0.20,0.22,0.20,0.54,1.72
Profit before tax,3.21,-1.22,1.78,1.37,2.44,1.15,1.73,4.12,7.73,3.18,3.75,7.65,12.95
Tax %,40.81%,-0.82%,8.43%,16.79%,34.02%,28.70%,14.45%,28.64%,26.39%,26.73%,33.60%,25.23%,27.10%
Net Profit +,1.90,-1.21,1.64,1.14,1.61,0.82,1.48,2.95,5.69,2.33,2.49,5.71,9.44
EPS in Rs,1.30,-0.83,1.12,0.78,1.10,0.56,1.01,2.02,3.89,1.59,1.65,3.78,6.25
Raw PDF,,,,,,,,,,,,,
