,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,152,137,211,107,226,191,349,371,503,528,639,732,911
Expenses +,184,422,239,131,402,218,317,322,411,426,503,559,704
Operating Profit,-32,-285,-28,-24,-175,-27,31,48,93,102,136,173,207
OPM %,-21%,-207%,-13%,-22%,-78%,-14%,9%,13%,18%,19%,21%,24%,23%
Other Income +,34,47,2,0,3,-0,4,16,1,21,15,9,68
Interest,69,83,82,90,94,65,70,64,63,57,58,44,37
Depreciation,26,20,26,24,26,26,29,26,28,30,42,44,47
Profit before tax,-93,-341,-134,-137,-293,-119,-63,-26,3,36,51,94,192
Tax %,-31%,-25%,-3%,-3%,-2%,0%,2%,4%,45%,-2%,2%,4%,42%
Net Profit +,-64,-256,-130,-134,-288,-119,-65,-27,2,37,50,90,112
EPS in Rs,-0.70,-2.88,-1.17,-1.20,-2.59,-0.90,-0.49,-0.18,0.01,0.36,0.40,0.71,0.89
Raw PDF,,,,,,,,,,,,,
