,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,79.58,79.56,81.22,75.59,76.44,72.75,76.33,82.22,81.00,76.50,91.31,102.58,106.18
Expenses +,71.32,73.08,75.88,69.23,68.69,66.14,68.14,73.82,73.00,70.00,83.81,90.19,95.22
Operating Profit,8.26,6.48,5.34,6.36,7.75,6.61,8.19,8.40,8.00,6.50,7.50,12.39,10.96
OPM %,10.38%,8.14%,6.57%,8.41%,10.14%,9.09%,10.73%,10.22%,9.88%,8.50%,8.21%,12.08%,10.32%
Other Income +,-0.25,0.20,0.02,0.74,0.64,0.37,0.19,0.65,1.65,1.59,1.60,-0.53,0.51
Interest,1.63,1.46,1.48,1.92,1.48,1.70,1.89,1.67,1.55,1.45,1.67,1.71,1.57
Depreciation,2.55,2.02,2.12,2.27,2.72,2.55,2.83,2.69,2.94,2.96,3.24,3.76,1.72
Profit before tax,3.83,3.20,1.76,2.91,4.19,2.73,3.66,4.69,5.16,3.68,4.19,6.39,8.18
Tax %,23.50%,17.19%,36.36%,29.55%,39.14%,28.57%,23.22%,27.51%,0.19%,26.90%,28.40%,25.98%,19.93%
Net Profit +,2.93,2.65,1.12,2.05,2.55,1.95,2.82,3.41,5.15,2.68,2.99,4.73,6.55
EPS in Rs,1.02,0.93,0.39,0.72,0.89,0.68,0.99,1.19,1.48,0.77,0.90,1.14,1.30
Raw PDF,,,,,,,,,,,,,
