,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,66,55,85,62,78,66,96,79,90,79,117,96,110
Expenses +,43,38,43,48,50,49,55,55,61,57,62,66,62
Operating Profit,22,16,42,14,27,18,42,23,29,22,56,30,47
OPM %,34%,30%,50%,22%,35%,27%,43%,30%,32%,28%,47%,32%,43%
Other Income +,7,8,8,12,10,12,11,14,10,12,12,12,15
Interest,0,0,0,0,1,0,0,0,0,0,0,1,1
Depreciation,2,2,3,3,3,3,3,3,3,3,3,3,3
Profit before tax,27,21,48,23,34,26,50,34,36,30,64,39,59
Tax %,15%,33%,27%,28%,41%,31%,29%,30%,32%,30%,27%,27%,26%
Net Profit +,23,14,35,16,20,18,36,24,25,21,47,28,43
EPS in Rs,7.72,4.61,11.57,5.38,6.60,5.99,11.81,7.88,8.07,6.94,15.41,9.29,14.24
Raw PDF,,,,,,,,,,,,,
