,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,057","1,413","2,114","3,165","4,196","5,374"
Expenses +,"1,094","1,435","2,374","3,534","4,413","5,316"
Operating Profit,-37,-22,-260,-369,-217,58
OPM %,-3%,-2%,-12%,-12%,-5%,1%
Other Income +,0,0,90,413,329,155
Interest,4,6,-0,-0,-0,-0
Depreciation,21,22,27,32,29,-0
Profit before tax,-62,-50,-197,13,82,214
Tax %,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit +,-62,-50,-197,13,82,214
EPS in Rs,,,,,,1.17
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%
