,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,640,696,429,416,713,702,440,403,783,841,493,462,913
Expenses +,498,548,413,388,568,586,423,390,620,686,473,447,723
Operating Profit,142,148,16,28,145,116,17,13,162,155,20,15,190
OPM %,22%,21%,4%,7%,20%,17%,4%,3%,21%,18%,4%,3%,21%
Other Income +,2,-1,1,1,-6,-12,4,3,4,5,10,4,1
Interest,6,4,3,4,5,5,6,6,6,4,1,3,4
Depreciation,6,6,6,6,7,6,6,6,6,5,5,5,13
Profit before tax,131,137,8,19,126,93,9,4,154,152,24,10,173
Tax %,-1%,0%,-4%,-1%,-15%,-18%,31%,92%,3%,3%,12%,37%,1%
Net Profit +,133,137,8,20,145,110,6,0,150,148,21,6,172
EPS in Rs,20.95,21.53,1.34,3.08,22.83,17.35,0.93,0.05,23.62,23.21,3.28,1.01,27.01
Raw PDF,,,,,,,,,,,,,
