,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,461,563,579,613,648,735,841,927,949,"1,051","1,032"
Expenses +,297,331,336,378,357,375,396,464,457,488,453
Operating Profit,163,231,243,235,290,360,445,464,493,563,579
OPM %,35%,41%,42%,38%,45%,49%,53%,50%,52%,54%,56%
Other Income +,2,4,6,7,4,3,2,2,7,5,4
Interest,82,102,114,99,119,147,171,183,183,200,225
Depreciation,15,19,23,31,22,24,45,45,20,21,24
Profit before tax,69,113,112,112,153,191,231,237,297,347,334
Tax %,31%,25%,22%,24%,19%,24%,24%,24%,26%,26%,25%
Net Profit +,47,85,87,85,123,145,176,181,221,257,252
EPS in Rs,,,,,35.09,41.39,50.06,51.19,62.44,72.13,70.27
Raw PDF,,,,,,,,,,,
