,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"2,850","3,100","3,297","3,507","3,762","3,912","4,087","4,622","4,348","4,359","4,421","4,619","4,674"
Interest,267,308,368,464,507,571,605,695,724,767,788,829,795
Expenses +,"1,930","2,074","2,341","2,467","2,565","2,631","2,760","3,258","2,811","2,867","3,173","3,372","3,320"
Financing Profit,653,718,588,576,690,710,722,668,813,725,461,419,559
Financing Margin %,23%,23%,18%,16%,18%,18%,18%,14%,19%,17%,10%,9%,12%
Other Income +,166,163,156,149,154,134,134,120,127,124,135,148,158
Depreciation,39,39,39,41,45,48,47,51,52,49,50,49,-2
Profit before tax,779,841,706,684,800,797,809,738,888,799,545,518,719
Tax %,25%,25%,26%,26%,25%,26%,26%,26%,25%,26%,26%,26%,26%
Net Profit +,581,627,526,509,596,593,603,549,662,594,404,383,534
EPS in Rs,6.16,6.65,5.57,5.39,6.30,6.27,6.37,5.78,6.97,6.25,4.25,4.03,5.61
Gross NPA %,2.22%,2.24%,2.14%,2.22%,2.35%,2.41%,2.43%,2.64%,2.76%,3.06%,3.27%,3.24%,3.08%
Net NPA %,0.78%,0.79%,0.78%,0.80%,0.87%,0.89%,0.89%,0.96%,0.99%,1.11%,1.19%,1.18%,1.46%
Raw PDF,,,,,,,,,,,,,
