,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,45,52,58,61,77,80,96,97,100,92,141,139,147
Expenses +,27,32,37,40,53,56,68,73,67,66,109,109,112
Operating Profit,18,21,22,21,24,24,28,25,33,27,32,30,35
OPM %,41%,39%,37%,35%,31%,30%,29%,25%,33%,29%,23%,22%,24%
Other Income +,0,1,1,1,2,1,0,2,3,3,1,2,2
Interest,2,1,0,0,2,0,0,1,1,0,1,0,-0
Depreciation,3,4,4,4,4,5,5,5,6,6,6,6,6
Profit before tax,14,16,19,18,20,20,23,20,29,24,27,25,31
Tax %,21%,16%,12%,16%,22%,17%,19%,2%,28%,23%,18%,12%,22%
Net Profit +,11,14,16,15,16,16,19,20,21,18,22,22,24
EPS in Rs,1.54,1.78,2.13,1.96,2.03,2.00,2.35,2.58,2.54,2.16,2.65,2.53,2.88
Raw PDF,,,,,,,,,,,,,
