,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,582,570,625,659,709,725,766,784,780,813,867,870,905
Expenses +,461,461,518,545,584,598,642,651,655,689,724,729,767
Operating Profit,121,109,107,114,126,127,123,134,125,124,143,141,139
OPM %,21%,19%,17%,17%,18%,18%,16%,17%,16%,15%,16%,16%,15%
Other Income +,18,26,32,6,-0,2,1,3,5,4,17,13,-5
Interest,3,2,5,8,9,9,13,13,9,9,11,12,10
Depreciation,12,11,17,20,20,20,21,22,27,20,20,17,19
Profit before tax,124,122,117,92,96,100,90,102,94,99,129,126,106
Tax %,29%,31%,27%,27%,25%,27%,28%,24%,-1%,28%,0%,25%,23%
Net Profit +,88,84,86,67,73,74,65,78,94,72,129,95,81
EPS in Rs,26.62,25.68,26.30,21.33,23.77,22.91,20.50,24.56,29.85,23.18,41.68,30.67,26.20
Raw PDF,,,,,,,,,,,,,
